osmid,y,x,highway,street_count,junction,longitude,latitude,pop_male,pop_female,pop_total,households
1108909723,6.9996535,100.4707878,,3,,100.4707878,6.9996535,27,28,55,23
1108909747,7.0167618,100.4539045,,3,,100.4539045,7.0167618,19,19,38,25
1110416315,7.0163429,100.4819066,,3,,100.4819066,7.0163429,24,27,51,20
1110416342,7.0142744,100.4799142,,3,,100.4799142,7.0142744,27,21,48,18
1110416355,7.0160323,100.4806032,,3,,100.4806032,7.0160323,24,25,49,26
1110416379,7.0015301,100.4756367,,3,,100.4756367,7.0015301,22,24,46,31
1110416402,7.0146703,100.480958,,3,,100.480958,7.0146703,25,25,50,29
1110416410,7.0038374,100.4739745,,4,,100.4739745,7.0038374,13,25,38,25
1110416444,7.0085628,100.4730775,,4,,100.4730775,7.0085628,27,29,56,21
1110416454,7.003523,100.4789469,,1,,100.4789469,7.003523,18,23,41,22
1110416469,7.0134345,100.4740667,,3,,100.4740667,7.0134345,19,24,43,30
1110416470,7.010931,100.4724426,,4,,100.4724426,7.010931,24,33,57,21
1110416501,7.0155978,100.4805634,,3,,100.4805634,7.0155978,25,18,43,21
1110416526,7.0132623,100.475078,,3,,100.475078,7.0132623,32,31,63,29
1110416535,7.0170356,100.4818254,,4,,100.4818254,7.0170356,28,23,51,19
1110416556,7.0030436,100.4740108,,4,,100.4740108,7.0030436,25,32,57,24
1110416567,7.0140476,100.4809082,,4,,100.4809082,7.0140476,26,23,49,24
1110416568,7.0045161,100.4739438,,4,,100.4739438,7.0045161,20,28,48,26
1110416604,7.0174931,100.4818057,,3,,100.4818057,7.0174931,24,34,58,22
1110416608,7.0175477,100.4825091,,3,,100.4825091,7.0175477,22,26,48,25
1110416631,7.0119313,100.472383,,2,,100.472383,7.0119313,25,30,55,20
1110416654,7.0084292,100.4723864,,3,,100.4723864,7.0084292,20,38,58,18
1110416655,7.0024918,100.4734594,,3,,100.4734594,7.0024918,25,30,55,13
1110416666,6.9984318,100.4773233,,3,,100.4773233,6.9984318,14,27,41,14
1110416677,7.0002496,100.4757434,,3,,100.4757434,7.0002496,18,13,31,31
1110416726,7.0011631,100.4744325,,4,,100.4744325,7.0011631,29,24,53,24
1110416742,7.0131459,100.4793869,,3,,100.4793869,7.0131459,18,26,44,25
1110416754,7.0138154,100.4727813,,3,,100.4727813,7.0138154,28,22,50,21
1115361870,7.0104982,100.4861835,,4,,100.4861835,7.0104982,18,36,54,30
1115560969,7.0212312,100.4592883,,3,,100.4592883,7.0212312,24,30,54,34
1115560973,7.0175509,100.4553406,,3,,100.4553406,7.0175509,23,24,47,26
1115560979,7.0167867,100.4553357,,3,,100.4553357,7.0167867,25,21,46,25
1115560991,7.0215353,100.455361,,3,,100.455361,7.0215353,22,21,43,29
1115560995,7.0133817,100.4569381,,3,,100.4569381,7.0133817,16,18,34,20
1115561003,7.0208605,100.4553568,,4,,100.4553568,7.0208605,20,22,42,17
1115561016,7.0187832,100.4553625,,3,,100.4553625,7.0187832,25,22,47,20
1115561024,7.0171744,100.4553357,,3,,100.4553357,7.0171744,13,24,37,26
1115561030,7.0195857,100.4553554,,3,,100.4553554,7.0195857,19,30,49,24
1115561039,7.0227974,100.4553465,,3,,100.4553465,7.0227974,19,22,41,21
1115561044,7.0142777,100.4564735,,3,,100.4564735,7.0142777,25,27,52,21
1115561050,7.0227876,100.4595691,,1,,100.4595691,7.0227876,17,28,45,23
1115561051,7.0215897,100.4703608,,3,yes,100.4703608,7.0215897,20,14,34,23
1115585385,7.0072325,100.4765604,,4,,100.4765604,7.0072325,32,37,69,22
1115585403,7.0080654,100.4768967,,3,,100.4768967,7.0080654,27,21,48,31
1115585416,7.0060349,100.4759068,,3,,100.4759068,7.0060349,18,22,40,23
1115585426,7.0153332,100.4760337,,3,,100.4760337,7.0153332,17,20,37,18
1115585463,7.0063144,100.4762745,,3,,100.4762745,7.0063144,22,30,52,17
1115585518,7.0161589,100.4757879,,3,,100.4757879,7.0161589,13,32,45,26
1115585548,7.0198854,100.475554,,4,,100.475554,7.0198854,20,17,37,24
1115585643,7.0274584,100.4734044,,3,,100.4734044,7.0274584,22,18,40,18
1115585697,7.0089076,100.4767571,,3,,100.4767571,7.0089076,29,26,55,29
1115585792,7.0059696,100.474283,,3,,100.474283,7.0059696,16,21,37,21
1115585796,7.0166134,100.4763949,,3,,100.4763949,7.0166134,24,29,53,21
1115585857,7.013856,100.4764946,,3,,100.4764946,7.013856,16,27,43,29
1115585897,7.0223415,100.4748914,,3,,100.4748914,7.0223415,25,26,51,24
1115585909,7.006727,100.4763647,,3,,100.4763647,7.006727,29,20,49,23
1120012974,7.0113097,100.483171,,3,,100.483171,7.0113097,21,21,42,27
1120012976,7.0143721,100.4794703,,3,,100.4794703,7.0143721,26,26,52,25
1120012989,7.0148135,100.4795108,,3,,100.4795108,7.0148135,18,27,45,23
1120014693,7.0165498,100.4709222,,3,,100.4709222,7.0165498,20,23,43,28
1122072640,7.0009155,100.4706,,4,,100.4706,7.0009155,19,35,54,29
1122072645,7.0009887,100.4712661,,4,,100.4712661,7.0009887,19,20,39,24
1122072658,7.0030315,100.4736599,,4,,100.4736599,7.0030315,16,28,44,21
1122072673,7.0010895,100.4721166,,3,,100.4721166,7.0010895,16,24,40,26
1122072674,7.0019712,100.472547,,3,,100.472547,7.0019712,20,25,45,18
1122072681,7.0028447,100.4717066,,3,,100.4717066,7.0028447,21,28,49,15
1122072695,7.0008168,100.4698855,,3,,100.4698855,7.0008168,28,14,42,15
1123399472,6.9953983,100.4795918,,3,,100.4795918,6.9953983,26,26,52,16
1123399483,7.0112823,100.4777379,,3,,100.4777379,7.0112823,21,25,46,21
1123399486,7.0129394,100.471796,,3,,100.471796,7.0129394,19,28,47,24
1123399489,7.0110755,100.4767094,,3,,100.4767094,7.0110755,17,28,45,21
1123399492,7.0142485,100.4742818,,4,,100.4742818,7.0142485,22,14,36,36
1123399502,7.0121475,100.4723816,,4,,100.4723816,7.0121475,21,31,52,33
1123399513,7.0137,100.4806223,,3,,100.4806223,7.0137,20,25,45,20
1123399535,7.0095625,100.4775173,,3,,100.4775173,7.0095625,18,30,48,20
1123399561,7.0095463,100.4779349,,3,,100.4779349,7.0095463,18,18,36,19
1123399562,7.0061954,100.4746862,,4,,100.4746862,7.0061954,31,32,63,22
1123399569,7.0143049,100.4752262,,3,,100.4752262,7.0143049,21,19,40,30
1123399587,7.0048322,100.4772008,,4,,100.4772008,7.0048322,22,18,40,28
1123399591,7.0139162,100.472443,,4,,100.472443,7.0139162,27,27,54,20
1123399595,7.0078391,100.4744019,,3,,100.4744019,7.0078391,23,18,41,20
1123399600,7.0072955,100.4770573,,4,,100.4770573,7.0072955,31,36,67,23
1123399615,6.9982221,100.4798651,traffic_signals,4,,100.4798651,6.9982221,17,21,38,21
1123399639,7.009051,100.4783745,,3,,100.4783745,7.009051,14,23,37,24
1123399641,7.011237,100.4780795,,4,,100.4780795,7.011237,24,29,53,18
1123399667,7.0165701,100.4824846,,4,,100.4824846,7.0165701,18,23,41,24
1123399675,7.0135809,100.4721009,,3,,100.4721009,7.0135809,23,26,49,26
1123399676,7.0136228,100.4762477,,3,,100.4762477,7.0136228,19,19,38,21
1123399678,6.9935714,100.4822776,,3,,100.4822776,6.9935714,19,29,48,26
1123399683,7.0102631,100.4784218,,3,,100.4784218,7.0102631,17,30,47,23
1123399706,7.0069454,100.4745272,,4,,100.4745272,7.0069454,20,40,60,25
1123399713,7.0133672,100.4782813,,3,,100.4782813,7.0133672,21,30,51,17
1123399715,7.0110427,100.4763172,,3,,100.4763172,7.0110427,12,39,51,16
1123399737,7.0110201,100.4784342,,3,,100.4784342,7.0110201,20,20,40,23
