osmid,y,x,highway,street_count,junction,longitude,latitude,capacity,pop_male,pop_female,pop_total,households,is_shelter,shelter_names,shelter_min_dist_deg
796719833,6.9981824,100.4758359,,3,,100.4758359,6.9981824,527.1706401473102,32,23,55,26,False,,
796719858,6.9966343,100.4749629,,3,,100.4749629,6.9966343,1239.0152617116737,19,29,48,21,False,,
796719881,6.9993728,100.4894042,,3,,100.4894042,6.9993728,3105.423981831551,15,22,37,19,False,,
796719909,7.0013876,100.4907371,,4,,100.4907371,7.0013876,1672.3392041659263,14,40,54,26,False,,
796719962,6.996611,100.475263,,3,,100.475263,6.996611,1334.8129462509446,21,22,43,18,False,,
796720013,6.9988155,100.4889164,,7,,100.4889164,6.9988155,953.6878560996156,20,27,47,25,False,,
796720075,6.9983879,100.4794397,,4,,100.4794397,6.9983879,3224.191795359752,17,25,42,25,False,,
796747456,6.9948771,100.4731298,,4,,100.4731298,6.9948771,1752.284885488294,15,34,49,25,False,,
796747467,6.9959748,100.474307,,3,,100.474307,6.9959748,1407.9385818489377,21,20,41,20,False,,
796747470,7.0243279,100.5000719,,4,,100.5000719,7.0243279,1292.5432676099263,21,29,50,18,False,,
796747481,7.0197302,100.497509,,3,,100.497509,7.0197302,351.0058237514071,26,27,53,21,False,,
796747504,6.9982394,100.4794629,,3,,100.4794629,6.9982394,1334.829660676287,26,23,49,24,False,,
796747561,7.0348847,100.5021609,,3,,100.5021609,7.0348847,545.935608802094,25,22,47,28,False,,
796747593,7.0186323,100.4827199,,3,,100.4827199,7.0186323,1454.430609298603,14,23,37,24,False,,
796747634,7.0065342,100.4807754,,3,,100.4807754,7.0065342,1995.6142128944114,23,23,46,28,False,,
796747657,7.0335293,100.5020819,,3,,100.5020819,7.0335293,1192.3084484531541,18,30,48,21,False,,
796747667,7.0302822,100.5021551,,4,,100.5021551,7.0302822,399.99111480130955,22,30,52,18,False,,
796747673,6.9949299,100.4753132,,4,,100.4753132,6.9949299,2061.2253407404787,16,23,39,23,False,,
796747687,6.9956609,100.4743975,,3,,100.4743975,6.9956609,1384.7249084169657,22,21,43,34,False,,
796747689,7.0199785,100.4979777,,3,,100.4979777,7.0199785,1523.4197542222855,31,23,54,23,False,,
796747695,6.9941766,100.4731619,,3,,100.4731619,6.9941766,917.8419225079699,14,23,37,29,False,,
796747697,6.9987495,100.4887355,,3,,100.4887355,6.9987495,898.4932856280473,28,33,61,36,False,,
796747698,6.9958718,100.4748039,,3,,100.4748039,6.9958718,1476.1257724508948,23,22,45,24,False,,
796747714,7.0042416,100.4803944,,3,,100.4803944,7.0042416,3105.5861658963,18,21,39,21,False,,
796747745,7.0185967,100.4823756,,3,,100.4823756,7.0185967,185.24739776022616,26,27,53,19,False,,
809537378,7.0179486,100.4796474,,4,,100.4796474,7.0179486,2523.415233571252,15,30,45,22,False,,
809537420,6.9981684,100.4838664,,3,,100.4838664,6.9981684,2545.165970428035,23,20,43,35,False,,
809537476,6.9988483,100.4887028,traffic_signals,3,,100.4887028,6.9988483,979.9444365449615,13,31,44,26,False,,
809537481,7.0186166,100.4825298,,3,,100.4825298,7.0186166,182.67668657520653,19,26,45,27,False,,
809537690,7.009014,100.4814405,,4,,100.4814405,7.009014,1651.8038837130016,22,17,39,30,False,,
809537695,7.0196136,100.4972114,,3,,100.4972114,7.0196136,534.5893283414173,29,21,50,32,False,,
809537709,7.0184925,100.4825501,,4,,100.4825501,7.0184925,1489.537010250975,26,25,51,21,False,,
809537716,7.0162038,100.4824994,,3,,100.4824994,7.0162038,893.2984775966432,21,25,46,22,False,,
809537729,7.0192448,100.4976281,,3,,100.4976281,7.0192448,1967.0785596317446,23,26,49,22,False,,
809537730,6.9983836,100.4795413,,4,,100.4795413,6.9983836,2865.860796685759,21,33,54,21,False,,
809537797,7.0180708,100.4795991,,3,,100.4795991,7.0180708,506.89921055218895,9,25,34,20,False,,
809537799,7.0085168,100.4936666,,4,,100.4936666,7.0085168,7446.058083189111,19,24,43,18,False,,
809537820,7.0089067,100.4814243,traffic_signals,4,,100.4814243,7.0089067,1150.4028280512694,28,20,48,28,False,,
809537841,6.9990314,100.4890569,,3,,100.4890569,6.9990314,694.0613390367913,17,31,48,13,False,,
823954353,7.0139577,100.4929914,,3,,100.4929914,7.0139577,2950.781229230771,20,21,41,20,False,,
