u,v,key,osmid,highway,name,oneway,reversed,length,bridge,lanes,maxspeed,ref,junction,access,tunnel,lanes_clean,capacity
796719962,1559016831,0,95637125,residential,,False,True,133.85867725474935,,,,,,,,1.0,468.5053703916227
796720013,809537841,0,84963940,primary,ถนนกาญจนวณิชย์,True,False,28.579508471067488,,3,,,,,,3.0,300.0848389462086
796720013,796747697,0,959974129,secondary,ถนนศรีภูวนารถ,True,False,21.27140295355185,,,,,,,,1.0,74.44991033743148
796720013,986090102,0,959974130,secondary,ถนนศรีภูวนารถ,True,False,25.237676212483777,,,,,,,,1.0,88.33186674369321
796720013,4900464579,0,1396178766,residential,Soi Klongdamrei,False,True,12.364735990843378,,,,,,,,1.0,43.27657596795183
796720075,809537730,0,1228979773,secondary,ถนนศรีภูวนารถ,True,False,11.223439448242386,,,,,,,,1.0,39.28203806884835
796720075,796747714,0,990212966,secondary,ถนนราษฎร์ยินดี,True,False,659.5802554398543,,,,,,,,1.0,2308.5308940394902
796747456,1431715428,0,65080340,residential,ถนนจันทร์นิเวศน์ 2,False,False,54.06711659652901,,,,,,,,1.0,189.23490808785155
796747456,1108909716,0,65080340,residential,ถนนจันทร์นิเวศน์ 2,False,True,45.42113624651334,,,,,,,,1.0,158.9739768627967
796747456,796747695,0,706262926,residential,,False,False,77.97268373525648,,,,,,,,1.0,272.90439307339767
796747456,1431715377,0,95637124,residential,Soi 1 Channivate 1,False,True,72.8654756343146,,,,,,,,1.0,255.0291647201011
796747467,796747687,0,"[706262924, 65080338, 65080356]",residential,ถนนไทยอาคาร,False,"[False, True]",36.36822791271116,yes,,,,,,,1.0,127.28879769448906
796747467,4900465125,0,243082641,unclassified,Thanon Simbenjapolpatana,False,True,61.7602071458212,,,,,,,,1.0,216.1607250103742
796747470,2505177693,0,243079685,primary_link,,False,False,11.149291720654835,,,,,,,,1.0,39.022521022291926
796747470,8634700671,0,970029499,primary,ถนนกาญจนวณิชย์,True,False,24.038861356308743,,3,,,,,,3.0,252.40804424124178
796747470,8634702947,0,931332154,residential,,False,True,73.92579519944304,,,,,,,,1.0,258.74028319805063
796747481,1612097214,0,72016638,secondary,ถนนเพชรเกษม,True,False,39.94863817371166,,,,,,,,1.0,139.82023360799082
796747481,796747689,0,72016641,primary_link,,True,False,60.33874004097607,,,,,,,,1.0,211.18559014341625
796747504,796720075,0,1228979774,secondary,ถนนราษฎร์ยินดี,True,False,16.70981316001786,,,,,,,,1.0,58.48434606006251
796747504,1559016861,0,685344728,secondary,ถนนศรีภูวนารถ,True,False,351.09322951164256,,,,,,,,1.0,1228.826303290749
796747593,2507401438,0,128632939,residential,Thanon Phetkasem Soi 10,False,False,162.64776612554857,,,,,,,,1.0,569.26718143942
796747593,2507401286,0,1218221900,secondary,ถนนเพชรเกษม,True,False,69.20377569514488,,,,,,,,1.0,242.2132149330071
796747634,856214432,0,1270957860,secondary,ถนนราษฎร์ยินดี,True,False,92.6702234842126,,,,,,,,1.0,324.3457821947441
796747634,1107926639,0,243188629,residential,,False,True,160.98615285735892,,,,,,,,1.0,563.4515350007562
796747657,2508585328,0,243455408,residential,Thanon Taksinmuangtong 3,False,True,36.78705954199574,,,,,,,,1.0,128.75470839698508
796747657,2508585470,0,970029499,primary,ถนนกาญจนวณิชย์,True,False,49.59152461558556,,3,,,,,,3.0,520.7110084636483
796747667,856214466,0,324267212,tertiary,ถนนนวลแก้วอุทิศ,True,False,13.088704353116476,,,,สข.5061,,,,1.0,45.81046523590767
796747667,13339847327,0,970029499,primary,ถนนกาญจนวณิชย์,True,False,12.843264502922096,,3,,,,,,3.0,134.85427728068203
796747673,8635169926,0,96941856,residential,ถนนจันทร์นิเวศน์ 3,False,True,55.62647172468907,,,,,,,,1.0,194.69265103641175
796747673,1680664171,0,706265654,unclassified,Thung Sao 1 Rd,False,False,50.53812897992304,,,,,,,,1.0,176.88345142973063
796747673,796747698,0,706265654,unclassified,Thung Sao 1 Rd,False,True,118.86513603670085,,,,,,,,1.0,416.02797612845296
796747673,1559016820,0,706273956,residential,ถนนจันทร์นิเวศน์ 3,False,False,69.43102622161258,,,,,,,,1.0,243.00859177564405
796747687,1431715428,0,65080340,residential,ถนนจันทร์นิเวศน์ 2,False,True,110.80867137441588,,,,,,,,1.0,387.8303498104556
796747687,796747698,0,95637136,residential,ถนนจันทร์นิเวศน์ 2,False,False,50.64094477243949,,,,,,,,1.0,177.24330670353822
796747687,796747467,0,"[65080338, 706262924, 65080356]",residential,ถนนไทยอาคาร,False,"[False, True]",36.36822791271116,yes,,,,,,,1.0,127.28879769448906
796747689,2505177602,0,970029499,primary,ถนนกาญจนวณิชย์,True,False,89.0670885213077,,3,,,,,,3.0,935.2044294737308
796747695,796747456,0,706262926,residential,,False,True,77.97268373525648,,,,,,,,1.0,272.90439307339767
796747695,1559016815,0,706273956,residential,ถนนจันทร์นิเวศน์ 3,False,True,7.8469576157235075,,,,,,,,1.0,27.464351655032274
796747695,1123399813,0,706273956,residential,ถนนจันทร์นิเวศน์ 3,False,False,45.300633293015714,,,,,,,,1.0,158.552216525555
796747697,12298825838,0,959974136,secondary,ถนนศรีภูวนารถ,True,False,214.00991771472167,,,,,,,,1.0,749.0347120015258
796747698,796747673,0,706265654,unclassified,Thung Sao 1 Rd,False,False,118.86513603670085,,,,,,,,1.0,416.02797612845296
796747698,796747687,0,95637136,residential,ถนนจันทร์นิเวศน์ 2,False,True,50.64094477243949,,,,,,,,1.0,177.24330670353822
796747698,1559016822,0,142434857,unclassified,Thanon Thung Sao 1,False,False,41.36902954098748,,,,,,,,1.0,144.7916033934562
796747714,4900465244,0,155690480,residential,,False,True,81.6669693013321,,,,,,,,1.0,285.8343925546624
796747714,1680667730,0,990212966,secondary,ถนนราษฎร์ยินดี,True,False,64.39613907070999,,,,,,,,1.0,225.38648674748498
796747745,809537481,0,1218221901,secondary,ถนนเพชรเกษม,True,False,17.16105495464207,,,,,,,,1.0,60.06369234124724
809537378,809537797,0,84842971,secondary_link,,False,False,14.596193673343814,,1,,,,,,1.0,51.086677856703346
809537378,2507401050,0,970311985,secondary,ถนนเพชรเกษม,True,False,37.366108334612775,,,,,,,,1.0,130.78137917114472
809537378,2506091313,0,290007154,unclassified,Thanon Samchai,False,True,202.0113384342911,,,,,,,,1.0,707.0396845200189
809537420,1680664784,0,155691091,residential,Thanon Sripuwanart Soi 12,False,False,273.27053621925,,,,,,,,1.0,956.446876767375
809537420,8642230840,0,959974136,secondary,ถนนศรีภูวนารถ,True,False,110.47497470738872,,,,,,,,1.0,386.66241147586055
809537476,796720013,0,959974133,secondary,ถนนศรีภูวนารถ,True,False,23.854752828852153,,,,,,,,1.0,83.49163490098253
809537476,809537841,0,84963064,primary_link,ถนนศรีภูวนารถ,True,False,44.282942785617706,,,,,,,,1.0,154.99029974966197
809537481,796747593,0,1218221900,secondary,ถนนเพชรเกษม,True,False,21.052294710501716,,,,,,,,1.0,73.68303148675601
809537481,809537709,0,1218221902,secondary,ถนนราษฎร์ยินดี,True,False,13.979989356343795,,,,,,,,1.0,48.929962747203284
809537690,809537820,0,706105952,unclassified,,True,False,12.06444740488082,,,,,,,,1.0,42.22556591708287
809537690,2406954577,0,243079844,tertiary,ถนนศุภสารรังสรรค์,True,False,421.2066454259256,,,,,,,,1.0,1474.2232589907396
809537695,4900466254,0,66984619,secondary,ถนนเพชรเกษม,True,False,8.852788809707716,,,,,,,,1.0,30.984760833977006
809537709,985092634,0,1218221903,secondary,ถนนเพชรเกษม,True,False,17.065745526669403,,2,,,,,,2.0,119.46021868668582
809537709,4900465231,0,66984595,secondary,ถนนราษฎร์ยินดี,True,False,56.54342535535689,,,,,,,,1.0,197.90198874374911
809537716,1680668239,0,96941852,unclassified,,False,True,11.083110325286675,,,,,,,,1.0,38.79088613850337
809537716,2505176985,0,243188781,secondary,ถนนราษฎร์ยินดี,True,False,93.12715975516475,,2,,,,,,2.0,651.8901182861533
809537729,1612097214,0,"[970037610, 66984602]",primary,ถนนกาญจนวณิชย์,True,False,54.51612390913946,,3,30.0,,,,,3.0,572.4193010459643
809537729,809537695,0,1075535365,primary_link,,True,False,71.67526916946045,,,,,,,,1.0,250.8634420931116
809537730,1680665586,0,1228979770,secondary,ถนนราษฎร์ยินดี,True,False,17.333991569587386,,2,,,,,,2.0,121.33794098711171
809537730,1196924373,0,1228979769,secondary,ถนนศรีภูวนารถ,True,False,36.61125710836863,,,,,,,,1.0,128.1393998792902
809537797,809537378,0,84842971,secondary_link,,False,True,14.596193673343814,,1,,,,,,1.0,51.086677856703346
809537797,8523748245,0,970311986,secondary,ถนนเพชรเกษม,True,False,12.798065395958128,,,,,,,,1.0,44.793228885853445
809537799,2505176233,0,970037610,primary,ถนนกาญจนวณิชย์,True,False,11.75762188815139,,3,30.0,,,,,3.0,123.45502982558958
809537799,2406954571,0,"[1236748106, 1236748109]",tertiary,ถนนศุภสารรังสรรค์,True,False,646.7381809379889,,2,,,,,,2.0,4527.167266565923
809537820,8523328986,0,151072453,residential,,True,False,64.98556066214783,,,,,,,,1.0,227.44946231751743
809537820,2406954578,0,"[66984604, 1218747877, 1218747876]",tertiary,ถนนศุภสารรังสรรค์,True,False,15.771861840318948,yes,,,,,,,1.0,55.20151644111632
809537841,1407219266,0,959974135,primary,ถนนกาญจนวณิชย์,True,False,22.760590508659114,,3,,,,,,3.0,238.9862003409207
823954353,2507400776,0,68518888,unclassified,Soi 17 Karnjanavanit,False,False,50.416936639146854,,,,,,,,1.0,176.459278237014
823954353,916327788,0,68518888,unclassified,Soi 17 Karnjanavanit,False,True,63.11022070182511,,,,,,,,1.0,220.88577245638788
823954353,2507400893,0,"[243314081, 498671650, 243314271]",residential,Soi Tummachoten Uthit 1,False,True,308.0130182634239,,,,,,,,1.0,1078.0455639219836
823954361,1597535079,0,71380780,tertiary,ถนนคลองเรียน 1,False,False,50.901496448892665,,4,,,,,,4.0,712.6209502844973
823954361,2505176686,0,71380780,tertiary,ถนนคลองเรียน 1,False,True,69.56571423366309,,4,,,,,,4.0,973.9199992712832
823954361,2505176734,0,71380788,residential,Thanon Rajyindee Soi 1/1,False,False,203.16928361047928,,2,,,,,,2.0,1422.1849852733549
823954362,2507400778,0,71380772,unclassified,Thanon Vongvanit,False,True,71.71005002640248,,2,,,,,,2.0,501.9703501848174
823954362,2507400750,0,243314468,residential,Soi Noon Uthit,False,True,89.66680365441836,,,,,,,,1.0,313.83381279046426
823954362,1597535079,0,71380772,unclassified,Thanon Vongvanit,False,False,95.6429563301799,,2,,,,,,2.0,669.5006943112593
823954363,8523765861,0,68518888,unclassified,Soi 17 Karnjanavanit,False,False,94.79147305477844,,,,,,,,1.0,331.77015569172454
823954363,2505176969,0,970037610,primary,ถนนกาญจนวณิชย์,True,False,129.05770815048265,,3,30.0,,,,,3.0,1355.1059355800678
823954365,2507400778,0,71380772,unclassified,Thanon Vongvanit,False,False,132.37195461512363,,2,,,,,,2.0,926.6036823058654
823954365,2508579987,0,243454912,residential,,False,True,93.06425204245456,,,,,,,,1.0,325.72488214859095
823954365,2508580006,0,71380777,tertiary,Thanon Phetkasem Soi 11,False,False,53.85452966091081,,,,,,,,1.0,188.49085381318784
823954365,8523777680,0,71380787,tertiary,ถนนประชายินดี,False,True,50.35712541547661,,,,,,,,1.0,176.24993895416813
849403330,849403509,0,71380781,residential,ซอยแป้นอนุสรณ์,False,False,37.63175871045856,,1,,,,,,1.0,131.71115548660498
849403330,8932309198,0,965548286,residential,,False,False,121.36125972303428,,,,,,,,1.0,424.76440903061996
849403352,8976428971,0,970010770,tertiary_link,,False,True,5.933640402597527,,,,,,,,1.0,20.767741409091347
849403352,2507400607,0,71380776,tertiary,,False,False,78.81876135275994,,,,,,,,1.0,275.8656647346598
849403352,849403531,0,684736206,tertiary,ถนนธรรมนูญวิถี,True,False,426.0768066967429,,,,,,,,1.0,1491.2688234386
849403365,2507400882,0,243314230,residential,,False,True,56.32219560471761,,,,,,,,1.0,197.12768461651166
849403365,4900465626,0,498671592,residential,,False,False,32.582401235376366,,,,,,,,1.0,114.03840432381728
849403365,849403480,0,71380777,tertiary,Thanon Phetkasem Soi 11,False,False,45.91329097253019,,,,,,,,1.0,160.69651840385566
849403365,849403427,0,71380777,tertiary,Thanon Phetkasem Soi 11,False,True,25.409885230282935,,,,,,,,1.0,88.93459830599028
849403384,849403500,0,990212967,tertiary,ถนนธรรมนูญวิถี,True,False,11.823670098261912,,,,,,,,1.0,41.38284534391669
849403384,796747634,0,1218225522,secondary,ถนนราษฎร์ยินดี,True,False,155.53296019947285,,,,,,,,1.0,544.365360698155
849403388,8524090701,0,71380777,tertiary,Thanon Phetkasem Soi 11,False,False,17.81345001751402,,,,,,,,1.0,62.347075061299066
849403388,2507400915,0,71380777,tertiary,Thanon Phetkasem Soi 11,False,True,21.865718309813055,,,,,,,,1.0,76.5300140843457
849403388,8524091695,0,243314299,residential,Phetkasem Soi 11/1,False,False,127.2041884890916,,,,,,,,1.0,445.2146597118206
849403403,2507400708,0,71380780,tertiary,ถนนคลองเรียน 1,False,False,42.85256220414499,,4,,,,,,4.0,599.9358708580298
849403403,2505176360,0,71380780,tertiary,ถนนคลองเรียน 1,False,True,21.33936685576874,,4,,,,,,4.0,298.7511359807624
849403403,2507400695,0,"[243314435, 498671644]",residential,,False,"[False, True]",107.04925505268592,,,,,,,,1.0,374.67239268440073
849403406,12311231557,0,71380775,unclassified,ซอยอรรถกระวีสุนทร,False,False,517.2081594100357,,2,,,,,,2.0,3620.45711587025
849403406,809537799,0,970037610,primary,ถนนกาญจนวณิชย์,True,False,252.6740268975896,,3,30.0,,,,,3.0,2653.077282424691
849403427,2507400856,0,71380777,tertiary,Thanon Phetkasem Soi 11,False,True,45.69257995761117,,,,,,,,1.0,159.9240298516391
849403427,849403365,0,71380777,tertiary,Thanon Phetkasem Soi 11,False,False,25.409885230282935,,,,,,,,1.0,88.93459830599028
849403427,2507400871,0,243314254,residential,Phetkasem Soi 11/2,False,False,127.21766948407574,,,,,,,,1.0,445.2618431942651
849403447,1421027702,0,128632937,residential,,False,False,9.554749583976797,,,,,,,,1.0,33.44162354391879
849403447,2505176975,0,71380780,tertiary,ถนนคลองเรียน 1,False,True,80.52125722599729,,4,,,,,,4.0,1127.297601163962
849403447,849403509,0,71380783,tertiary,Soi 15 Phetkasem Road,False,False,198.854155488627,,2,,,,,,2.0,1391.979088420389
849403480,2507400896,0,243314169,residential,,False,False,30.712868899601492,,,,,,,,1.0,107.49504114860522
849403480,2507400875,0,243314197,residential,,False,True,28.300543435506473,,,,,,,,1.0,99.05190202427265
849403480,2507400915,0,71380777,tertiary,Thanon Phetkasem Soi 11,False,False,39.857716337415795,,,,,,,,1.0,139.50200718095527
849403480,849403365,0,71380777,tertiary,Thanon Phetkasem Soi 11,False,True,45.91329097253019,,,,,,,,1.0,160.69651840385566
849403482,8976428962,0,684736206,tertiary,ถนนธรรมนูญวิถี,True,False,14.525036847938358,,,,,,,,1.0,50.837628967784255
849403482,849403406,0,970037610,primary,ถนนกาญจนวณิชย์,True,False,169.35827045172735,,3,30.0,,,,,3.0,1778.2618397431372
849403490,2406954577,0,71380776,tertiary,,False,True,47.886131386255464,,,,,,,,1.0,167.60145985189413
849403490,4900464595,0,71380780,tertiary,ถนนคลองเรียน 1,False,False,55.44472578317018,,4,,,,,,4.0,776.2261609643825
849403500,8976428987,0,990212971,secondary,ถนนราษฎร์ยินดี,True,False,3.708335312858401,,2,,,,,,2.0,25.958347190008805
849403500,8976429008,0,"[969757852, 969757853]",tertiary,ถนนธรรมนูญวิถี,True,False,17.42472073727007,yes,,,,,,,1.0,60.98652258044525
849403509,849403330,0,71380781,residential,ซอยแป้นอนุสรณ์,False,True,37.63175871045856,,1,,,,,,1.0,131.71115548660498
849403509,2507401009,0,71380783,tertiary,Soi 15 Phetkasem Road,False,False,17.690925337983927,,2,,,,,,2.0,123.83647736588749
849403509,849403447,0,71380783,tertiary,Soi 15 Phetkasem Road,False,True,198.854155488627,,2,,,,,,2.0,1391.979088420389
849403531,8976428999,0,970010769,secondary_link,,False,False,10.629386258270316,,,,,,,,1.0,37.202851903946105
849403531,1407218094,0,684736206,tertiary,ถนนธรรมนูญวิถี,True,False,166.07463837938164,,,,,,,,1.0,581.2612343278357
849403531,12311231560,0,1330567669,tertiary,ถนนประชายินดี,False,False,139.69314899283563,,,,,,,,1.0,488.9260214749247
856214432,2505176169,0,1227721990,residential,ถนนประชาธิปัตย์,False,True,11.854655747719976,,,,,,,,1.0,41.49129511701992
856214432,2406954579,0,1227721991,secondary,ถนนราษฎร์ยินดี,True,False,179.34382782368317,,,,,,,,1.0,627.7033973828911
856214432,856214524,0,1270957863,residential,ถนนประชาธิปัตย์,False,False,173.31477630376335,,,,,,,,1.0,606.6017170631717
856214466,856214501,0,243079803,primary,ถนนกาญจนวณิชย์,True,False,9.427071012426014,,3,,,,,,3.0,98.98424563047314
856214470,856214503,0,706092523,residential,Thanon Pracharak,True,False,123.80396684548111,,,,,,,,1.0,433.3138839591839
856214477,856214513,0,243079803,primary,ถนนกาญจนวณิชย์,True,False,53.571358021531985,,3,,,,,,3.0,562.4992592260859
856214477,1612097214,0,72016648,secondary,ถนนเพชรเกษม,True,False,36.46043916719016,,,,,,,,1.0,127.61153708516557
856214501,2505177835,0,243079784,tertiary,ถนนนวลแก้วอุทิศ,True,False,16.03912396085822,,,,สข.5061,,,,1.0,56.13693386300377
856214501,2505177693,0,243079803,primary,ถนนกาญจนวณิชย์,True,False,695.4146888749672,,3,,,,,,3.0,7301.854233187155
856214503,2052489649,0,706092523,residential,Thanon Pracharak,True,False,115.0597665611502,,,,,,,,1.0,402.7091829640257
856214503,13424220808,0,931354569,residential,ถนนประชาธิปัตย์,False,False,37.30768915928706,,,,,,,,1.0,130.5769120575047
856214503,2506085690,0,931354569,residential,ถนนประชาธิปัตย์,False,True,52.02111688649749,,,,,,,,1.0,182.0739091027412
856214513,2505177482,0,1214497910,primary,ถนนกาญจนวณิชย์,True,False,142.81666062316145,,3,,,,,,3.0,1499.5749365431952
856214524,13279030938,0,185951074,residential,ถนนประชาธิปัตย์,False,False,29.875681593490786,,,,,,,,1.0,104.56488557721775
856214524,1107926639,0,706105951,residential,ถนนสามชัย,False,False,104.72239087366812,,,,,,,,1.0,366.5283680578384
856214524,8363308287,0,706105951,residential,ถนนสามชัย,False,True,146.80701987357958,,,,,,,,1.0,513.8245695575285
856214524,856214432,0,1270957863,residential,ถนนประชาธิปัตย์,False,True,173.31477630376335,,,,,,,,1.0,606.6017170631717
856214538,4900466448,0,498671388,residential,Thanon Prachathipat 2,False,True,81.775599534281,,,,,,,,1.0,286.2145983699835
856214538,1123399706,0,969757849,residential,ถนนประชาธิปัตย์,False,False,95.78229298324308,,,,,,,,1.0,335.23802544135077
856214538,4900465166,0,1365935945,residential,,False,False,54.11870512311369,,,,,,,,1.0,189.41546793089793
856214538,4900464598,0,969757849,residential,ถนนประชาธิปัตย์,False,True,72.27684996486944,,,,,,,,1.0,252.96897487704305
856214571,2505176434,0,65080358,secondary,ถนนราษฎร์ยินดี,True,False,229.30499538824685,,,,,,,,1.0,802.567483858864
856214571,2505176258,0,66984610,tertiary,ถนนศุภสารรังสรรค์,False,False,11.786202979580594,,,,,,,,1.0,41.25171042853208
856214571,1369020950,0,72016745,tertiary,ถนนศุภสารรังสรรค์,False,False,160.94854687736208,,,,,,,,1.0,563.3199140707673
856214578,485580842,0,84842974,residential,ถนนนิพัทธ์อุทิศ 3,True,False,132.60879059160143,,3,,,,,,3.0,1392.392301211815
856214578,4900465513,0,684714761,residential,Thanon Duangchan,True,False,98.45832961098174,,,,,,,,1.0,344.60415363843606
916327686,916327912,0,77967090,secondary,ถนนเพชรเกษม,True,False,223.47290241136523,,3,,,,,,3.0,2346.4654753193345
916327686,916327921,0,77967093,secondary,,True,False,37.175093591210725,,2,,,roundabout,,,2.0,260.2256551384751
916327702,4900466295,0,77967084,secondary,ถนนเพชรเกษม,True,False,71.08951990151265,,,,,,,,1.0,248.81331965529426
916327730,916327962,0,77967082,residential,ถนนเชื่อมรัฐอุทิศ,True,False,15.661991307562063,,2,,,,,,2.0,109.63393915293445
