osmid,y,x,highway,street_count,junction,longitude,latitude,capacity,is_shelter,shelter_names,shelter_min_dist_deg,pop_male,pop_female,pop_total,households,flood_level_s0,flood_distance_s0_deg,flood_level_s1,flood_distance_s1_deg
1680660878,6.9852285,100.462132,,1,,100.462132,6.9852285,3655.159926523241,False,,,21,31,52,18,1,0.0008069125253816335,3,0.0016033376788924727
1680660905,6.9856657,100.4667079,,3,,100.4667079,6.9856657,812.8518662026578,False,,,22,33,55,29,4,0.0005212393714725083,2,0.0008079787427737744
1680660943,6.9858829,100.4656443,,3,,100.4656443,6.9858829,1086.2660536001833,False,,,21,17,38,30,2,0.0005188361187791153,3,0.0010145997163204508
1680661022,6.986212,100.4667381,,3,,100.4667381,6.986212,1333.9079245437333,False,,,16,26,42,24,4,0.0009331653533566558,2,0.0013065935646147985
1680661103,6.9866026,100.4666558,,3,,100.4666558,6.9866026,4322.521685337772,False,,,12,24,36,24,1,0.0006291089951600155,5,0.0012320711178750849
1680661291,6.9869509,100.4731939,,3,,100.4731939,6.9869509,2027.9778195136826,False,,,17,29,46,23,4,0.0005716514137021968,4,0.0013894468543096104
1680661314,6.9870407,100.4665201,,3,,100.4665201,6.9870407,1257.981354287465,False,,,15,19,34,20,1,0.00027344425891841494,5,0.0010822012480093352
1680661420,6.9873158,100.4758309,,3,,100.4758309,6.9873158,5556.52819291213,False,,,19,24,43,23,2,0.0007325877975771579,4,0.0008558240944103142
1680661429,6.9876539,100.4806806,,3,,100.4806806,6.9876539,2881.1733852340094,False,,,24,29,53,24,1,0.0011274286938343383,2,0.00030552625611410706
1680661477,6.9873862,100.4726804,,4,,100.4726804,6.9873862,3255.8910694665938,False,,,21,26,47,13,3,0.0005807032900282487,4,0.0011503835978297218
1680661520,6.9874327,100.471007,,1,,100.471007,6.9874327,0.0,False,,,17,27,44,37,2,0.0014435277100994688,4,0.0007854729819416379
1680661595,6.987514,100.4826851,,3,,100.4826851,6.987514,3050.6010685543247,False,,,13,27,40,27,1,0.002583309210336963,3,0.001018529893233952
1680661719,6.9879118,100.4769908,,1,,100.4769908,6.9879118,829.8211029519103,False,,,24,33,57,25,4,9.266087248191485e-05,4,0.0005240631151006864
1680661729,6.9879457,100.4759183,,4,,100.4759183,6.9879457,1940.742120069797,False,,,25,23,48,13,2,0.000332967900390948,2,0.0008427998057290692
1680661834,6.9883736,100.4767087,,1,,100.4767087,6.9883736,633.7974343217912,False,,,23,28,51,21,4,0.0005908792265930752,2,5.8208765385225524e-05
1680661861,6.9884254,100.47589,,3,,100.47589,6.9884254,1136.9574825324414,False,,,23,29,52,25,1,0.000484731578940763,2,0.0007821041662370821
1680661896,6.9885867,100.4758509,,3,,100.4758509,6.9885867,878.6223326177044,False,,,25,25,50,22,1,0.00043121610023230694,2,0.0008542069704596344
1680661955,6.9887551,100.472768,,3,,100.472768,6.9887551,1768.2012655286514,False,,,23,17,40,37,3,0.0008515120034744893,4,0.0007053288617254704
1680662019,6.9891114,100.4714852,,3,,100.4714852,6.9891114,918.1099761253694,False,,,30,24,54,24,2,0.0011279957436972224,4,0.0001896955402075248
1680662036,6.9892153,100.4744197,,3,,100.4744197,6.9892153,652.197630233145,False,,,20,29,49,24,5,0.0007641641351933696,2,0.0006871508814284928
1680662066,6.9893883,100.473053,,3,,100.473053,6.9893883,2171.2312043428633,False,,,28,29,57,20,5,0.0007237723443663312,3,0.0009276836563558164
1680662117,6.9895239,100.4743408,,3,,100.4743408,6.9895239,1429.8570373481775,False,,,16,31,47,17,5,0.0005937822120230837,2,0.0006618707732324685
1680662136,6.9897043,100.4742909,,3,,100.4742909,6.9897043,1347.6201420515322,False,,,21,28,49,23,5,0.0005542618385380773,3,0.0006166906954489722
1680662139,6.9897074,100.4716023,,3,,100.4716023,6.9897074,2258.984015796605,False,,,23,23,46,27,2,0.0011921072988986072,4,0.0005445511208543407
1680662182,6.9898285,100.4766709,,3,,100.4766709,6.9898285,5938.626353199405,False,,,24,28,52,18,1,0.00047979978884313967,3,0.0008466512811167933
1680662196,6.9898827,100.4784765,,1,,100.4784765,6.9898827,836.6668178506116,False,,,18,29,47,25,5,0.0004054906514059536,2,0.00018508376938916203
1680662210,6.9899902,100.4752575,,3,,100.4752575,6.9899902,2096.561070538891,False,,,20,29,49,22,3,0.0004552004559778759,2,0.00048152741177363563
1680662244,6.9900106,100.4761136,,3,,100.4761136,6.9900106,2077.837655527939,False,,,18,25,43,26,5,0.0004283628556977454,3,0.0008339631035931457
1680662332,6.9904114,100.4800943,,4,,100.4800943,6.9904114,1948.2724940692563,False,,,16,33,49,21,5,0.0015788724909268892,2,0.0018083846408846345
1680662342,6.9904276,100.4752284,,3,,100.4752284,6.9904276,2046.325330118365,False,,,29,24,53,17,3,0.00018858355527376214,5,0.0004656028134107109
1680662362,6.9904781,100.4710517,,3,,100.4710517,6.9904781,1418.5570848918483,False,,,16,22,38,21,5,0.0006379983175831054,3,0.001110073905076058
1680662422,6.9905891,100.4682622,,1,,100.4682622,6.9905891,86.85522115318275,False,,,21,31,52,25,1,0.00038616950193684317,2,0.00025438093869955934
1680662505,6.9908376,100.4713804,,3,,100.4713804,6.9908376,1256.43683562161,False,,,21,24,45,18,1,0.00104826335688333,1,0.0010869525231352465
1680662508,6.9908353,100.4802592,,4,,100.4802592,6.9908353,3851.200482129305,False,,,24,22,46,17,5,0.0019608944426290154,2,0.002099211839856196
1680662523,6.9909701,100.4699535,,3,,100.4699535,6.9909701,3047.2748671287836,False,,,17,32,49,24,1,0.000541171761740272,3,0.00014445563790441135
1680662566,6.9909357,100.478694,,3,,100.478694,6.9909357,1911.4338522995981,False,,,24,20,44,26,5,0.0013535259381940738,2,0.0010028039682252752
1680662578,6.9909989,100.4645918,,4,,100.4645918,6.9909989,2552.6639576074344,False,,,28,24,52,30,1,0.0016938488255718697,3,0.002940518937477183
1680662584,6.9910436,100.476019,,3,,100.476019,6.9910436,1239.504695277542,False,,,22,24,46,27,1,0.00030977680419949806,3,0.00031236686281735056
1680662592,6.9910738,100.4678605,,3,,100.4678605,6.9910738,662.5777400063788,False,,,17,25,42,23,1,0.0006595296148503773,2,0.0005304671752201791
1680662616,6.9911092,100.4681453,,3,,100.4681453,6.9911092,659.9181558893738,False,,,17,21,38,19,1,0.0007292984526395878,2,0.00033385477499074906
1680662622,6.9911596,100.468473,,3,,100.468473,6.9911596,1469.2307848916298,False,,,24,27,51,26,1,0.0009281473922723176,2,0.00035490424931836594
1680662629,6.9911795,100.4752808,,3,,100.4752808,6.9911795,2239.0176704165547,False,,,25,21,46,24,3,0.0007748386048271776,5,0.00044573581802331326
1680662647,6.9912498,100.4804266,,4,,100.4804266,6.9912498,3217.2708681876875,False,,,23,26,49,15,1,0.0018546000904204661,5,0.002434859874269753
1680662668,6.9912682,100.4704875,,3,,100.4704875,6.9912682,1771.208278076042,False,,,22,32,54,20,1,7.313453678916239e-05,3,0.0006532732065389681
1680662672,6.9912891,100.4776353,,3,,100.4776353,6.9912891,987.2379877488333,False,,,27,21,48,21,3,0.0005533501650525326,5,0.001039618927772589
1680662680,6.9912999,100.4716646,,3,,100.4716646,6.9912999,2443.708672804036,False,,,21,22,43,21,1,0.001248930934729881,1,0.000556646089141783
1680662687,6.9913253,100.4760642,,3,,100.4760642,6.9913253,1033.2822567932376,False,,,28,21,49,27,1,0.00020047856830586897,3,0.0005258831096207347
