u,v,key,osmid,highway,name,oneway,reversed,length,bridge,lanes,maxspeed,ref,junction,access,tunnel,flood_level_u,flood_level_v,flood_level
1680663823,1680663371,0,155690746,residential,Thanon Thungsao 2 Soi 4/2,False,False,95.2803695997744,,,,,,,,2,4,4
1680663828,1680664052,0,155691050,residential,Thanon Watprakarn,False,True,58.86445146537403,,,,,,,,5,5,5
1680663828,1680663894,0,155691155,residential,Thanon Cheanuthitkeawsamitpattana,False,False,117.80354275303073,,,,,,,,5,3,5
1680663828,1680663833,0,155691155,residential,Thanon Cheanuthitkeawsamitpattana,False,True,6.083256142586167,,,,,,,,5,5,5
1680663833,1680663479,0,155691041,residential,,False,True,83.59622140574183,,,,,,,,5,1,5
1680663833,1680663828,0,155691155,residential,Thanon Cheanuthitkeawsamitpattana,False,False,6.083256142586167,,,,,,,,5,5,5
1680663833,1680663855,0,155691155,residential,Thanon Cheanuthitkeawsamitpattana,False,True,98.07909103934465,,,,,,,,5,5,5
1680663855,1680663396,0,155690679,residential,,False,True,111.81372992526492,,,,,,,,5,1,5
1680663855,1680663833,0,155691155,residential,Thanon Cheanuthitkeawsamitpattana,False,False,98.07909103934465,,,,,,,,5,5,5
1680663855,1680663769,0,155691155,residential,Thanon Cheanuthitkeawsamitpattana,False,True,162.15214128947093,,,,,,,,5,1,5
1680663894,1680663828,0,155691155,residential,Thanon Cheanuthitkeawsamitpattana,False,True,117.80354275303073,,,,,,,,3,5,5
1680663894,4900465345,0,155690274,residential,,False,False,161.47857624906186,,,,,,,,3,1,3
1680663894,8642960061,0,498671547,residential,,False,True,158.9219134655027,,,,,,,,3,1,3
1680663909,1680663941,0,95637131,unclassified,Thanon Thungsao 2,False,False,11.226426421472585,,,,,,,,2,2,2
1680663909,1680663823,0,95637131,unclassified,Thanon Thungsao 2,False,True,29.418468381412787,,,,,,,,2,2,2
1680663909,1680664228,0,155690744,residential,Thanon Thungsao 2 Soi 3,False,False,110.4229013403738,,,,,,,,2,3,3
1680663938,1680663997,0,155690814,residential,Thanon Keawsomnok,False,False,51.036812830888614,,,,,,,,3,3,3
1680663938,8642704671,0,706265654,unclassified,Thung Sao 1 Rd,False,False,34.57501770205805,,,,,,,,3,3,3
1680663938,1680663948,0,706265654,unclassified,Thung Sao 1 Rd,False,True,11.664512085573552,,,,,,,,3,3,3
1680663941,1108909691,0,95637131,unclassified,Thanon Thungsao 2,False,False,56.89743892016125,,,,,,,,2,2,2
1680663941,1680663909,0,95637131,unclassified,Thanon Thungsao 2,False,True,11.226426421472585,,,,,,,,2,2,2
1680663941,1680663206,0,155691064,residential,Thanon Thungsao 2 Soi 4,False,True,151.80128330529567,,,,,,,,2,4,4
1680663948,1680663938,0,706265654,unclassified,Thung Sao 1 Rd,False,False,11.664512085573552,,,,,,,,3,3,3
1680663948,8363316256,0,706265654,unclassified,Thung Sao 1 Rd,False,True,32.89787282288616,,,,,,,,3,2,3
1680663948,1680663374,0,"[706256378, 155690277]",residential,Thanon Thung Sao 1 Soi 2,False,False,187.13105078675417,,,,,,,,3,4,4
1680663997,1680663706,0,155690597,residential,Thanon Thung Sao 2 Soi 1,False,False,88.08038987830305,,,,,,,,3,3,3
1680663997,1680663938,0,155690814,residential,Thanon Keawsomnok,False,True,51.036812830888614,,,,,,,,3,3,3
1680663997,1431715456,0,"[498671685, 569148517, 155690814]",residential,Thanon Keawsomnok,False,"[False, True]",108.07907294352307,,,,,,,,3,3,3
1680664013,1431715407,0,100401248,residential,Kham Uthit Soi 2,False,False,44.944451688401614,,,,,,,,3,3,3
1680664013,1431715390,0,100401248,residential,Kham Uthit Soi 2,False,True,54.16554035700285,,,,,,,,3,3,3
1680664013,1680663265,0,155690986,residential,Soi Kum Uthit 3,False,True,166.71302223276737,,,,,,,,3,3,3
1680664013,1680664277,0,155690986,residential,Soi Kum Uthit 3,False,False,87.80394253976138,,,,,,,,3,4,4
1680664052,1680663828,0,155691050,residential,Thanon Watprakarn,False,False,58.86445146537403,,,,,,,,5,5,5
1680664052,8363189526,0,155691050,residential,Thanon Watprakarn,False,True,34.767212796693855,,,,,,,,5,5,5
1680664052,4900465111,0,498671306,residential,,False,True,123.88552532856184,,,,,,,,5,5,5
1680664160,1680664214,0,155690698,residential,,False,False,97.888807716593,,,,,,,,1,1,1
1680664171,1680664255,0,155690745,residential,Thanon Kaewsanit,False,False,45.5897432323503,,,,,,,,5,2,5
1680664171,1431715381,0,706265654,unclassified,Thung Sao 1 Rd,False,False,44.77751349476694,,,,,,,,5,5,5
1680664171,796747673,0,706265654,unclassified,Thung Sao 1 Rd,False,True,50.53812897992304,,,,,,,,5,5,5
1680664183,8363189525,0,155690366,residential,Thanon Sutthisamit,False,True,20.304202599724174,,,,,,,,5,5,5
1680664183,8363189533,0,900226784,residential,,False,True,49.104463398057575,,,,,,,,5,5,5
1680664183,8363189534,0,900226785,residential,,False,False,37.88603541064834,,,,,,,,5,5,5
1680664214,1680664160,0,155690698,residential,,False,True,97.888807716593,,,,,,,,1,1,1
1680664214,4900465119,0,155690987,residential,,False,False,19.205528761519517,,,,,,,,1,1,1
1680664214,8635153349,0,155690987,residential,,False,True,177.04473430762215,,,,,,,,1,1,1
1680664228,1431715388,0,129827550,residential,Soi 3 Thung Sao 1,False,False,61.8736925617141,,,,,,,,3,2,3
1680664228,1431715456,0,129827550,residential,Soi 3 Thung Sao 1,False,True,46.37424880914549,,,,,,,,3,3,3
1680664228,1680663909,0,155690744,residential,Thanon Thungsao 2 Soi 3,False,True,110.4229013403738,,,,,,,,3,2,3
1680664255,1680664329,0,155690745,residential,Thanon Kaewsanit,False,False,80.1896648173948,,,,,,,,2,2,2
1680664255,1680664171,0,155690745,residential,Thanon Kaewsanit,False,True,45.5897432323503,,,,,,,,2,5,5
1680664255,8635169926,0,931388873,residential,,False,True,49.79860709148821,,,,,,,,2,5,5
1680664277,1431715442,0,95637131,unclassified,Thanon Thungsao 2,False,True,52.47432282030301,,,,,,,,4,4,4
1680664277,1431715400,0,95637131,unclassified,Thanon Thungsao 2,False,False,52.124040187883296,,,,,,,,4,2,4
1680664277,1680664013,0,155690986,residential,Soi Kum Uthit 3,False,True,87.80394253976138,,,,,,,,4,3,4
1680664320,1680664436,0,155690668,residential,,False,False,138.02098316013107,,,,,,,,1,1,1
1680664320,4900465408,0,155690987,residential,,False,False,12.839646409218323,,,,,,,,1,1,1
1680664320,4900465119,0,155690987,residential,,False,True,22.02543573833543,,,,,,,,1,1,1
1680664322,4900465367,0,155690784,residential,,False,False,87.93691759718922,,,,,,,,1,1,1
1680664322,1680664363,0,931321078,tertiary,ถนนพลพิชัย,False,True,25.954246872706857,,,,,,,,1,1,1
1680664322,1108909332,0,931321078,tertiary,ถนนพลพิชัย,False,False,73.50404584193538,,,,,,,,1,1,1
1680664329,1680664255,0,155690745,residential,Thanon Kaewsanit,False,True,80.1896648173948,,,,,,,,2,2,2
1680664329,1680664362,0,699753146,residential,ถนนจันทร์นิเวศน์ 3,False,False,10.284538750931093,,,,,,,,2,2,2
1680664329,1431715456,0,699753146,residential,ถนนจันทร์นิเวศน์ 3,False,True,57.88802802271307,,,,,,,,2,3,3
1680664343,1680664350,0,155690784,residential,,False,False,36.97418176818349,,,,,,,,1,1,1
1680664343,4900465367,0,155690784,residential,,False,True,65.02060102148282,,,,,,,,1,1,1
1680664343,1680664471,0,155690845,residential,,False,True,57.50421999070497,,,,,,,,1,1,1
1680664350,1680664343,0,155690784,residential,,False,True,36.97418176818349,,,,,,,,1,1,1
