osmid,y,x,highway,street_count,junction,longitude,latitude,gridcode,flood_distance_deg,flood_level
916327815,7.1131419,100.4696206,,3,,100.4696206,7.1131419,4,0.0010927443179855625,4
916327820,7.1502402,100.4674155,,3,,100.4674155,7.1502402,4,0.0017675632179579002,4
916327822,7.0557985,100.4991043,,3,,100.4991043,7.0557985,1,0.004129062120562233,1
916327824,7.0120816,100.4674841,,3,,100.4674841,7.0120816,2,0.0004187016604703624,2
916327827,7.1254019,100.4638705,,3,,100.4638705,7.1254019,5,0.0026895814498816015,5
916327839,7.0139462,100.4709568,,3,,100.4709568,7.0139462,3,0.00036683981282933367,3
916327849,7.0519651,100.5060068,,4,,100.5060068,7.0519651,1,0.007681795587843105,1
916327853,7.1546835,100.4679757,,3,,100.4679757,7.1546835,4,0.004155400309846039,4
916327859,7.0561357,100.4825961,,3,,100.4825961,7.0561357,3,0.0014675360944434214,3
916327863,7.1153534,100.4648509,,3,,100.4648509,7.1153534,3,0.0020069075867539493,3
916327880,7.1463655,100.4674625,,3,,100.4674625,7.1463655,4,0.0010205644662594526,4
916327882,7.0812025,100.4798382,,3,,100.4798382,7.0812025,4,0.0026872777565979844,4
916327885,7.0141916,100.4712994,,3,,100.4712994,7.0141916,3,5.533607081797697e-05,3
916327888,7.0139598,100.4714477,,3,,100.4714477,7.0139598,3,0.0002861452462100135,3
916327890,7.1175336,100.4643016,,3,,100.4643016,7.1175336,3,0.0012996595576161884,3
916327895,7.0526969,100.4768693,,3,,100.4768693,7.0526969,3,0.00029892748930874564,3
916327912,7.011912,100.470556,,3,,100.470556,7.011912,2,0.0006501209125183005,2
916327921,7.0138246,100.4710024,,3,,100.4710024,7.0138246,3,0.0004222735736455473,3
916327933,7.0646846,100.477124,,4,,100.477124,7.0646846,5,0.0008229804768162258,5
916327942,7.0194903,100.4938823,,3,,100.4938823,7.0194903,5,0.0005265900951434309,5
916327945,7.0168049,100.4770885,traffic_signals,4,,100.4770885,7.0168049,4,0.0014257533953955209,4
916327947,7.0572431,100.4839694,,3,,100.4839694,7.0572431,2,0.002348532414172723,2
916327954,7.0587806,100.4906712,,3,,100.4906712,7.0587806,1,0.0014458378542408432,1
916327962,7.01071,100.4701457,traffic_signals,3,,100.4701457,7.01071,2,0.0007599494901008876,2
947896950,7.0106254,100.4753482,,3,,100.4753482,7.0106254,2,0.00040556085250955157,2
947896955,6.9975659,100.4991191,,1,,100.4991191,6.9975659,3,0.01264527128872904,3
947896956,7.0108468,100.4715861,,4,,100.4715861,7.0108468,1,0.0008506243229065272,1
947896958,7.0094407,100.4815012,,3,,100.4815012,7.0094407,1,0.0003201149134691052,1
947896964,7.0103692,100.4764634,traffic_signals,3,,100.4764634,7.0103692,1,0.00020873489247496158,1
947896971,7.0089002,100.4765404,,4,,100.4765404,7.0089002,4,0.0005807593157246287,4
947896972,7.0125629,100.4820136,,3,,100.4820136,7.0125629,1,0.0008449437713681879,1
