u,v,key,osmid,highway,oneway,ref,reversed,length,geometry,lanes_clean,capacity,name,lanes,bridge,maxspeed,access,junction,tunnel,flood_level_s0,flood_level_s1
8643255340,4900465457,0,"[155690987, 498671572]",residential,False,,"[False, True]",137.28635536710266,"LINESTRING (100.4625599 6.9953636, 100.4625266 6.9955299, 100.4625322 6.9955884, 100.4635096 6.9958559)",1.0,480.5022437848593,Ruangkool Road,,,,,,,0,1
1680665321,1680665232,0,931321078,tertiary,False,,False,27.314856482444288,"LINESTRING (100.4624293 6.9973646, 100.4625694 6.9971621)",1.0,95.601997688555,ถนนพลพิชัย,,,,,,,0,2
1680665321,1680665232,1,155690977,residential,False,,False,264.02817042426216,"LINESTRING (100.4624293 6.9973646, 100.461445 6.9971001, 100.4614784 6.9969467, 100.4615046 6.9968474, 100.4625694 6.9971621)",1.0,924.0985964849176,,,,,,,,0,2
1680665321,1680665363,0,931321078,tertiary,False,,True,15.918218899590808,"LINESTRING (100.4624293 6.9973646, 100.4624178 6.9975073)",1.0,55.71376614856783,ถนนพลพิชัย,,,,,,,0,3
13336315606,4900464613,0,498671416,residential,False,,True,9.732603563364181,"LINESTRING (100.4645001 6.9968272, 100.4645203 6.996742)",1.0,34.064112471774635,,,,,,,,0,1
8634028428,8634028435,0,931256569,secondary,True,,False,11.00406499213072,"LINESTRING (100.4651693 6.9968656, 100.4652535 6.9969186)",1.0,38.51422747245752,ถนนศรีภูวนารถ,,,,,,,0,1
8634028428,4900464613,0,323958075,secondary,False,,False,72.93522695997206,"LINESTRING (100.4651693 6.9968656, 100.4650122 6.996836, 100.4646884 6.996775, 100.4645203 6.996742)",1.0,255.2732943599022,ถนนศรีภูวนารถ,,,,,,,0,1
1680664320,1680664436,0,155690668,residential,False,,False,135.92305029592845,"LINESTRING (100.4626219 6.9949958, 100.4637731 6.9954301)",1.0,475.7306760357496,,,,,,,,0,1
1680664320,4900465408,0,155690987,residential,False,,False,12.839646408491356,"LINESTRING (100.4626219 6.9949958, 100.4626126 6.9951109)",1.0,44.938762429719745,,,,,,,,0,1
1680664320,4900465119,0,155690987,residential,False,,True,17.58469946746841,"LINESTRING (100.4626219 6.9949958, 100.462654 6.9948409)",1.0,61.54644813613944,,,,,,,,0,1
1680664363,4900465368,0,155690759,residential,False,,False,99.33452079816732,"LINESTRING (100.463929 6.9952242, 100.4648018 6.9954423)",1.0,347.6708227935856,Thanon Deeland 1,,,,,,,0,1
1680664363,1680664322,0,931321078,tertiary,False,,False,27.49306412535949,"LINESTRING (100.463929 6.9952242, 100.4640715 6.9950214)",1.0,96.2257244387582,ถนนพลพิชัย,,,,,,,0,1
1680664363,1680664436,0,931321078,tertiary,False,,True,28.65527511260419,"LINESTRING (100.463929 6.9952242, 100.4638353 6.995341, 100.4637731 6.9954301)",1.0,100.29346289411467,ถนนพลพิชัย,,,,,,,0,1
