y,x,highway,street_count,is_shelter,shelter_names,pop_male,pop_female,pop_total,households,junction,flood_level_20251121_0600,flood_distance_20251121_0600_m,flood_level_20251124_2200,flood_distance_20251124_2200_m
6.9997202,100.4736908,,3,False,,1,0,1,4,,0,125.12506347754052,4,125.12506347754052
6.999159400000001,100.4746025,,3,False,,0,0,0,1,,0,100.70533260368174,3,100.70533260368174
6.9990039999999984,100.4733452,,3,False,,1,0,1,2,,0,128.28916144355847,3,128.28916144355847
6.9980223,100.4738481,,3,False,,1,1,2,0,,0,15.935288699422577,3,15.935288699422577
6.998317900000001,100.4759838,,3,False,,1,3,4,1,,0,56.10930244273393,4,56.10930244273393
6.997400599999999,100.4713882,,3,False,,0,0,0,1,,0,112.93067081932968,5,112.93067081932968
6.9971556,100.4724667,,3,False,,0,0,0,1,,0,97.74814915556952,1,97.74814915556952
6.996283499999997,100.4723061,,3,False,,3,0,3,0,,0,67.56195089977886,2,67.56195089977886
6.994228199999999,100.4723289,,3,False,,0,1,1,0,,0,83.74822998501749,1,83.74822998501749
6.9970021,100.4655529,,4,False,,1,2,3,0,,0,107.50104474750229,1,107.50104474750229
7.003950399999999,100.46787290000002,,3,False,,0,0,0,2,,0,22.68221319539157,5,22.68221319539157
7.004046199999999,100.4685541,,3,False,,2,0,2,3,,0,39.25983344562946,3,39.25983344562946
7.004177,100.4694581,traffic_signals,4,False,,2,0,2,0,,0,90.22056548781335,4,90.22056548781335
7.0050088,100.4684315,,3,False,,2,0,2,2,,0,57.2065262062537,5,57.2065262062537
7.004241099999999,100.4700794,,4,False,,2,2,4,1,,0,151.67736912652495,4,151.67736912652495
7.002727600000001,100.4696464,traffic_signals,4,False,,0,0,0,2,,0,71.58467210022384,2,71.58467210022384
7.005199399999999,100.4684257,,3,False,,1,0,1,3,,0,43.14008641033982,5,43.14008641033982
7.004920699999999,100.4677213,,3,False,,1,3,4,3,,0,43.10134956051934,2,43.10134956051934
7.0059052,100.4699124,,4,False,,0,0,0,0,,0,133.9690085085413,2,133.9690085085413
7.004313799999999,100.4707399,,4,False,,2,0,2,0,,0,221.86734473637586,4,221.86734473637586
7.002599,100.4687698,,3,False,,1,0,1,1,,0,35.19641518607643,5,35.19641518607643
7.002352700000001,100.4697049,,3,False,,2,0,2,3,,0,32.67551631803502,2,32.67551631803502
7.005341199999998,100.4683871,,3,False,,1,0,1,1,,0,40.954509125603316,5,40.954509125603316
7.0044854999999995,100.4690051,,1,False,,1,0,1,1,,0,30.190019186573238,4,30.190019186573238
7.0070669,100.46976160000001,,4,False,,1,0,1,1,,0,143.70909519471974,2,143.70909519471974
7.005814799999998,100.46919740000001,,4,False,,3,1,4,0,,0,66.1951984124037,5,66.1951984124037
7.0043579,100.4715036,,4,False,,2,0,2,1,,0,223.10410839745592,2,223.10410839745592
7.003568999999999,100.4708694,,3,False,,2,1,3,1,,0,217.21252280204726,2,217.21252280204726
7.0018842,100.4688589,,3,False,,3,0,3,1,,0,25.093388689022795,3,25.093388689022795
7.002492199999999,100.4679467,,3,False,,0,1,1,4,,0,45.33515348769759,2,45.33515348769759
7.001801099999999,100.4697782,,3,False,,3,0,3,1,,0,37.91592498161888,2,37.91592498161888
7.005715199999998,100.4683345,,4,False,,1,1,2,2,,0,56.54436383943779,5,56.54436383943779
7.005268000000001,100.4676656,,3,False,,0,0,0,3,,0,80.63377966535717,2,80.63377966535717
7.005630499999999,100.4676095,,3,False,,1,0,1,2,,0,76.45130204589442,5,76.45130204589442
7.0062161000000005,100.4674659,,3,False,,1,0,1,2,,0,49.944030984919856,5,49.944030984919856
7.0063334,100.46824220000002,,3,False,,1,0,1,2,,0,37.13036659999901,5,37.13036659999901
7.0071389,100.4673093,,3,False,,0,1,1,2,,0,67.3857951770068,4,67.3857951770068
7.007268099999999,100.4681243,,3,False,,2,2,4,2,,0,30.720221460363767,4,30.720221460363767
7.007285399999998,100.4673102,,3,False,,1,1,2,0,,0,70.63323095663078,4,70.63323095663078
7.007398399999999,100.46808950000002,,3,False,,0,1,1,1,,0,39.73072360958448,4,39.73072360958448
7.010825499999999,100.4668343,,3,False,,0,0,0,1,,0,52.92415659981694,5,52.92415659981694
7.007499199999998,100.468897,,5,False,,0,0,0,3,,0,117.67094198664383,4,117.67094198664383
7.0083426,100.4679721,,3,False,,1,2,3,1,,0,45.46570214455043,4,45.46570214455043
7.010855199999999,100.4676131,,4,False,,2,1,3,0,,0,55.053651008559,4,55.053651008559
7.011295700000001,100.4667479,,3,False,,1,0,1,1,,0,103.01576428597608,5,103.01576428597608
7.0059709,100.4705028,,4,False,,1,0,1,2,,0,196.10319972256673,2,196.10319972256673
7.005109999999999,100.4706208,,3,False,,0,1,1,1,,0,209.4603621953093,5,209.4603621953093
7.007561200000001,100.469684,,3,False,,0,1,1,1,,0,131.93026592286802,3,131.93026592286802
7.0069634,100.4690488,,3,False,,0,1,1,1,,0,85.51867373146693,2,85.51867373146693
7.007150599999999,100.4703267,,4,False,,1,0,1,2,,0,177.14499266387256,4,177.14499266387256
7.004940999999998,100.4693365,,3,False,,1,0,1,1,,0,75.91695640508905,4,75.91695640508905
7.0043929,100.4727667,,4,False,,0,0,0,0,,0,110.66318071767249,5,110.66318071767249
7.005187299999999,100.4713797,,3,False,,1,1,2,0,,0,206.51037314564934,4,206.51037314564934
7.002884499999999,100.4709996,,3,False,,1,1,2,1,,0,179.81823026087096,2,179.81823026087096
7.003627100000001,100.4716016,traffic_signals,4,False,,0,1,1,1,,0,165.17613243502947,2,165.17613243502947
7.007491699999999,100.4690592,,4,False,,0,0,0,0,,0,134.06745876578606,4,134.06745876578606
7.0076598,100.4702926,traffic_signals,4,False,,1,0,1,2,,0,121.333974778168,4,121.333974778168
7.007329599999999,100.4712004,,3,False,,0,1,1,3,,0,101.2811905940999,3,101.2811905940999
7.0049971,100.469721,,1,False,,0,0,0,3,,0,116.6317222810761,4,116.6317222810761
7.0044432,100.4732391,,3,False,,0,3,3,7,,0,58.53580014990677,5,58.53580014990677
7.0048972,100.4726679,,3,False,,1,0,1,2,,0,124.49314237087322,5,124.49314237087322
7.0060497999999995,100.4712646,,3,False,,0,0,0,2,,0,145.75699573066746,3,145.75699573066746
7.0028085,100.4703374,,4,False,,0,0,0,3,,0,115.63666192124838,2,115.63666192124838
7.0037123999999995,100.47244800000001,,3,False,,1,2,3,1,,0,102.09956224430054,2,102.09956224430054
7.007419299999999,100.4689898,,5,False,,0,1,1,1,,0,124.24997338021666,4,124.24997338021666
