Id,lon,lat,depth
3829,100.4762499996667,7.022916666333331,0.5
3834,100.4987499996667,7.022916666333331,2.0
3835,100.4987499996667,7.022916666333331,2.5
3842,100.4537499996667,7.022083332999998,1.5
3843,100.454583333,7.022083332999998,2.5
3844,100.4579166663333,7.022083332999998,0.5
3845,100.4612499996667,7.022083332999998,1.0
3846,100.462083333,7.022083332999998,1.5
3848,100.4712499996667,7.022083332999998,1.0
3849,100.4737499996667,7.022083332999998,1.0
3850,100.474583333,7.022083332999998,2.5
3851,100.4754166663333,7.022083332999998,1.5
3852,100.477083333,7.022083332999998,2.0
3853,100.4812499996667,7.022083332999998,0.5
3855,100.4904166663333,7.022083332999998,2.5
3856,100.4937499996667,7.022083332999998,1.5
3857,100.4954166663333,7.022083332999998,2.0
3858,100.497083333,7.022083332999998,0.5
3859,100.4979166663333,7.022083332999998,2.5
3870,100.454583333,7.021249999666664,1.0
3871,100.4612499996667,7.021249999666664,2.0
3872,100.462083333,7.021249999666664,1.0
3873,100.4629166663333,7.021249999666664,0.5
3874,100.4654166663333,7.021249999666664,1.5
3875,100.4662499996667,7.021249999666664,1.0
3876,100.4679166663333,7.021249999666664,1.0
3877,100.4704166663333,7.021249999666664,2.5
3878,100.4729166663333,7.021249999666664,2.0
3879,100.474583333,7.021249999666664,2.0
3880,100.4754166663333,7.021249999666664,0.5
3881,100.4787499996667,7.021249999666664,0.5
3882,100.479583333,7.021249999666664,1.0
3883,100.482083333,7.021249999666664,1.5
3884,100.4829166663333,7.021249999666664,2.0
3885,100.484583333,7.021249999666664,0.5
3886,100.4887499996667,7.021249999666664,1.0
3887,100.4904166663333,7.021249999666664,2.0
3888,100.4912499996667,7.021249999666664,0.5
3889,100.4937499996667,7.021249999666664,2.5
3890,100.4979166663333,7.021249999666664,1.5
3901,100.454583333,7.020416666333331,1.0
3902,100.459583333,7.020416666333331,1.5
3903,100.4612499996667,7.020416666333331,1.0
3904,100.4612499996667,7.020416666333331,0.5
3905,100.4662499996667,7.020416666333331,1.5
3906,100.4679166663333,7.020416666333331,2.0
3907,100.4687499996667,7.020416666333331,1.5
3908,100.469583333,7.020416666333331,1.0
3909,100.4712499996667,7.020416666333331,2.0
3910,100.4737499996667,7.020416666333331,2.5
3911,100.474583333,7.020416666333331,1.5
3912,100.4779166663333,7.020416666333331,1.5
3913,100.4804166663333,7.020416666333331,2.5
3914,100.4829166663333,7.020416666333331,2.5
3915,100.4854166663333,7.020416666333331,0.5
3916,100.4862499996667,7.020416666333331,2.0
3917,100.487083333,7.020416666333331,2.5
3918,100.4887499996667,7.020416666333331,2.5
3919,100.4887499996667,7.020416666333331,2.0
3920,100.494583333,7.020416666333331,2.5
3921,100.497083333,7.020416666333331,1.5
3922,100.4979166663333,7.020416666333331,0.5
3938,100.454583333,7.019583332999997,1.5
3939,100.457083333,7.019583332999997,2.5
3940,100.4587499996667,7.019583332999997,1.0
3941,100.4604166663333,7.019583332999997,2.5
3942,100.4729166663333,7.019583332999997,1.0
3943,100.4737499996667,7.019583332999997,1.0
3944,100.4812499996667,7.019583332999997,2.0
3945,100.482083333,7.019583332999997,1.0
3946,100.4862499996667,7.019583332999997,1.5
3947,100.487083333,7.019583332999997,1.0
3948,100.4904166663333,7.019583332999997,1.5
3949,100.4954166663333,7.019583332999997,1.0
3950,100.497083333,7.019583332999997,2.5
3951,100.497083333,7.019583332999997,1.5
3966,100.457083333,7.018749999666664,2.0
3967,100.457083333,7.018749999666664,2.5
3968,100.4679166663333,7.018749999666664,2.0
3969,100.4729166663333,7.018749999666664,2.0
3970,100.482083333,7.018749999666664,1.5
3971,100.4837499996667,7.018749999666664,2.0
3972,100.487083333,7.018749999666664,2.5
3973,100.4879166663333,7.018749999666664,1.5
3974,100.489583333,7.018749999666664,2.5
3975,100.4912499996667,7.018749999666664,0.5
3976,100.492083333,7.018749999666664,1.5
3977,100.4937499996667,7.018749999666664,1.0
3978,100.4962499996667,7.018749999666664,1.5
3979,100.497083333,7.018749999666664,2.0
3989,100.457083333,7.017916666333331,2.5
3990,100.464583333,7.017916666333331,0.5
3991,100.4654166663333,7.017916666333331,2.0
3992,100.4687499996667,7.017916666333331,2.0
3993,100.469583333,7.017916666333331,1.5
3994,100.469583333,7.017916666333331,1.0
3995,100.4729166663333,7.017916666333331,1.0
3996,100.4804166663333,7.017916666333331,0.5
3997,100.4829166663333,7.017916666333331,0.5
3998,100.4854166663333,7.017916666333331,1.5
3999,100.487083333,7.017916666333331,1.0
4000,100.4962499996667,7.017916666333331,2.0
4001,100.4962499996667,7.017916666333331,1.5
4014,100.4537499996667,7.017083332999998,0.5
4015,100.4562499996667,7.017083332999998,2.0
4016,100.459583333,7.017083332999998,0.5
4017,100.4662499996667,7.017083332999998,2.5
4018,100.4687499996667,7.017083332999998,1.5
4019,100.469583333,7.017083332999998,1.0
4020,100.4829166663333,7.017083332999998,2.0
4021,100.4837499996667,7.017083332999998,1.5
4022,100.484583333,7.017083332999998,0.5
4023,100.4854166663333,7.017083332999998,1.0
4024,100.4904166663333,7.017083332999998,1.5
4025,100.492083333,7.017083332999998,0.5
4026,100.494583333,7.017083332999998,1.0
4040,100.4529166663333,7.016249999666664,0.5
4041,100.454583333,7.016249999666664,1.5
4042,100.4562499996667,7.016249999666664,1.0
4043,100.459583333,7.016249999666664,2.0
4044,100.4604166663333,7.016249999666664,0.5
