osmid,y,x,highway,street_count,junction,longitude,latitude
2506092823,7.0181517,100.4552684,,3,,100.4552684,7.0181517
2506092890,7.0182549,100.4693481,,1,,100.4693481,7.0182549
2506092910,7.0186167,100.4659641,,1,,100.4659641,7.0186167
2506092942,7.0183447,100.4626506,,1,,100.4626506,7.0183447
2506092950,7.0183501,100.4707108,,4,,100.4707108,7.0183501
2506092971,7.0185713,100.4700575,,3,,100.4700575,7.0185713
2506092981,7.0184141,100.4553391,,3,,100.4553391,7.0184141
2506092991,7.0184194,100.4617101,,4,,100.4617101,7.0184194
2506093012,7.0184141,100.4626104,,1,,100.4626104,7.0184141
2506093133,7.0185421,100.4648961,,3,,100.4648961,7.0185421
2506093175,7.0185956,100.4552756,,3,,100.4552756,7.0185956
2506093218,7.018632,100.4693576,,3,,100.4693576,7.018632
2506093282,7.018681,100.4525441,,1,,100.4525441,7.018681
2506093285,7.0187084,100.4538195,,3,,100.4538195,7.0187084
2506093340,7.0187556,100.4659308,,3,,100.4659308,7.0187556
2506093364,7.0188063,100.461671,,4,,100.461671,7.0188063
2506093411,7.0188402,100.4665686,,4,,100.4665686,7.0188402
2506093457,7.0188746,100.4693637,,3,,100.4693637,7.0188746
2506093541,7.0189632,100.4647816,,3,,100.4647816,7.0189632
2506093626,7.0191126,100.4538302,,4,,100.4538302,7.0191126
2506093636,7.0191307,100.4525486,,1,,100.4525486,7.0191307
2506093665,7.019178,100.4552761,,3,,100.4552761,7.019178
2506093692,7.0191848,100.4553578,,3,,100.4553578,7.0191848
2506093710,7.0191762,100.4658231,,1,,100.4658231,7.0191762
2506093720,7.0192121,100.4616059,,4,,100.4616059,7.0192121
2506093785,7.0192657,100.4693736,,3,,100.4693736,7.0192657
2506093792,7.0192356,100.4665175,,4,,100.4665175,7.0192356
2506093835,7.0193015,100.4686978,,3,,100.4686978,7.0193015
2506093860,7.0193567,100.4680463,,4,,100.4680463,7.0193567
2506093889,7.0194039,100.4645706,,3,,100.4645706,7.0194039
2506093920,7.019526,100.4526662,,1,,100.4526662,7.019526
2506093940,7.0195205,100.4538078,,4,,100.4538078,7.0195205
2506093960,7.019586,100.4552741,,3,,100.4552741,7.019586
2506093992,7.0195925,100.4615745,,4,,100.4615745,7.0195925
2506094041,7.0196398,100.4600459,,3,,100.4600459,7.0196398
2506094058,7.0196411,100.4705733,,3,,100.4705733,7.0196411
2506094067,7.0196484,100.4664613,,3,,100.4664613,7.0196484
2506094095,7.0196672,100.4699881,,3,,100.4699881,7.0196672
2506094104,7.0197128,100.4693848,,3,,100.4693848,7.0197128
2506094157,7.0197492,100.468712,,3,,100.468712,7.0197492
2506094185,7.0197735,100.4680601,,3,,100.4680601,7.0197735
2506094255,7.019921,100.4537812,,4,,100.4537812,7.019921
2506094266,7.0199223,100.4527077,,1,,100.4527077,7.0199223
2506094313,7.0199556,100.4643233,,3,,100.4643233,7.0199556
2506094321,7.0199402,100.4544626,,1,,100.4544626,7.0199402
2506094348,7.0199683,100.465713,,1,,100.465713,7.0199683
2506094395,7.0199892,100.4553536,,3,,100.4553536,7.0199892
2506094426,7.0200575,100.470524,,3,,100.470524,7.0200575
2506094456,7.0200076,100.4615385,,4,,100.4615385,7.0200076
2506094477,7.0200402,100.4600202,,4,,100.4600202,7.0200402
2506094539,7.02006,100.4664098,,3,,100.4664098,7.02006
2506094588,7.0200852,100.4672022,,1,,100.4672022,7.0200852
2506094693,7.0201608,100.4642132,,3,,100.4642132,7.0201608
2506094703,7.0202051,100.4688833,,3,,100.4688833,7.0202051
2506094809,7.0203248,100.4542402,,1,,100.4542402,7.0203248
2506094849,7.020312,100.4656123,,1,,100.4656123,7.020312
2506094858,7.0203482,100.4553553,,3,,100.4553553,7.0203482
2506094885,7.0203443,100.4552839,,3,,100.4552839,7.0203443
