u,v,key,osmid,highway,name,oneway,reversed,length,bridge,lanes,maxspeed,ref,junction,access,tunnel
1680663938,8642704671,0,706265654,unclassified,Thung Sao 1 Rd,False,False,34.57501770205805,,,,,,,
1680663938,1680663948,0,706265654,unclassified,Thung Sao 1 Rd,False,True,11.664512085573552,,,,,,,
1680663941,1108909691,0,95637131,unclassified,Thanon Thungsao 2,False,False,56.89743892016125,,,,,,,
1680663941,1680663909,0,95637131,unclassified,Thanon Thungsao 2,False,True,11.226426421472583,,,,,,,
1680663941,1680663206,0,155691064,residential,Thanon Thungsao 2 Soi 4,False,True,151.80128330529567,,,,,,,
1680663948,1680663938,0,706265654,unclassified,Thung Sao 1 Rd,False,False,11.664512085573552,,,,,,,
1680663948,8363316256,0,706265654,unclassified,Thung Sao 1 Rd,False,True,32.89787282288616,,,,,,,
1680663948,1680663374,0,"[706256378, 155690277]",residential,Thanon Thung Sao 1 Soi 2,False,False,187.13105078675414,,,,,,,
1680663997,1680663706,0,155690597,residential,Thanon Thung Sao 2 Soi 1,False,False,88.08038987830305,,,,,,,
1680663997,1680663938,0,155690814,residential,Thanon Keawsomnok,False,True,51.036812830888614,,,,,,,
1680663997,1431715456,0,"[498671685, 569148517, 155690814]",residential,Thanon Keawsomnok,False,"[False, True]",108.07907294352307,,,,,,,
1680664013,1431715407,0,100401248,residential,Kham Uthit Soi 2,False,False,44.944451688401614,,,,,,,
1680664013,1431715390,0,100401248,residential,Kham Uthit Soi 2,False,True,54.16554035700285,,,,,,,
1680664013,1680663265,0,155690986,residential,Soi Kum Uthit 3,False,True,166.71302223276737,,,,,,,
1680664013,1680664277,0,155690986,residential,Soi Kum Uthit 3,False,False,87.80394253976138,,,,,,,
1680664052,1680663828,0,155691050,residential,Thanon Watprakarn,False,False,58.86445146537403,,,,,,,
1680664052,8363189526,0,155691050,residential,Thanon Watprakarn,False,True,34.767212796693855,,,,,,,
1680664052,4900465111,0,498671306,residential,,False,True,123.88552532856184,,,,,,,
1680664160,1680664214,0,155690698,residential,,False,False,97.88880771659299,,,,,,,
